"Step","2of3 - accuracy","2of3 - accuracy__MIN","2of3 - accuracy__MAX","2of3 - test_accuracy","2of3 - test_accuracy__MIN","2of3 - test_accuracy__MAX","2of3 - err1","2of3 - err1__MIN","2of3 - err1__MAX","2of3 - err2","2of3 - err2__MIN","2of3 - err2__MAX","2of3 - test_err1","2of3 - test_err1__MIN","2of3 - test_err1__MAX","2of3 - test_err2","2of3 - test_err2__MIN","2of3 - test_err2__MAX","2of3 - loss","2of3 - loss__MIN","2of3 - loss__MAX","1of3 - accuracy","1of3 - accuracy__MIN","1of3 - accuracy__MAX","1of3 - test_accuracy","1of3 - test_accuracy__MIN","1of3 - test_accuracy__MAX","1of3 - err1","1of3 - err1__MIN","1of3 - err1__MAX","1of3 - err2","1of3 - err2__MIN","1of3 - err2__MAX","1of3 - test_err1","1of3 - test_err1__MIN","1of3 - test_err1__MAX","1of3 - test_err2","1of3 - test_err2__MIN","1of3 - test_err2__MAX","1of3 - loss","1of3 - loss__MIN","1of3 - loss__MAX","0of3 - accuracy","0of3 - accuracy__MIN","0of3 - accuracy__MAX","0of3 - test_accuracy","0of3 - test_accuracy__MIN","0of3 - test_accuracy__MAX","0of3 - err1","0of3 - err1__MIN","0of3 - err1__MAX","0of3 - err2","0of3 - err2__MIN","0of3 - err2__MAX","0of3 - test_err1","0of3 - test_err1__MIN","0of3 - test_err1__MAX","0of3 - test_err2","0of3 - test_err2__MIN","0of3 - test_err2__MAX","0of3 - loss","0of3 - loss__MIN","0of3 - loss__MAX"
"10","0.6298828125","0.6298828125","0.6298828125","0.6396484375","0.6396484375","0.6396484375","0.3681640625","0.3681640625","0.3681640625","0.001953125","0.001953125","0.001953125","0.3583984375","0.3583984375","0.3583984375","0.001953125","0.001953125","0.001953125","0.15979931730544195","0.15979931730544195","0.15979931730544195","0.615234375","0.615234375","0.615234375","0.6787109375","0.6787109375","0.6787109375","0.3837890625","0.3837890625","0.3837890625","0.0009765625","0.0009765625","0.0009765625","0.3193359375","0.3193359375","0.3193359375","0.001953125","0.001953125","0.001953125","0.1849197784322314","0.1849197784322314","0.1849197784322314","0.6142578125","0.6142578125","0.6142578125","0.6552734375","0.6552734375","0.6552734375","0.3828125","0.3828125","0.3828125","0.0029296875","0.0029296875","0.0029296875","0.3408203125","0.3408203125","0.3408203125","0.00390625","0.00390625","0.00390625","0.1817727639572695","0.1817727639572695","0.1817727639572695"
"11","0.6591796875","0.6591796875","0.6591796875","0.59765625","0.59765625","0.59765625","0.3359375","0.3359375","0.3359375","0.0048828125","0.0048828125","0.0048828125","0.40234375","0.40234375","0.40234375","0","0","0","0.15651270138914697","0.15651270138914697","0.15651270138914697","0.619140625","0.619140625","0.619140625","0.6650390625","0.6650390625","0.6650390625","0.376953125","0.376953125","0.376953125","0.00390625","0.00390625","0.00390625","0.330078125","0.330078125","0.330078125","0.0048828125","0.0048828125","0.0048828125","0.17478659012704156","0.17478659012704156","0.17478659012704156","0.6201171875","0.6201171875","0.6201171875","0.5908203125","0.5908203125","0.5908203125","0.3779296875","0.3779296875","0.3779296875","0.001953125","0.001953125","0.001953125","0.408203125","0.408203125","0.408203125","0.0009765625","0.0009765625","0.0009765625","0.1710892689297907","0.1710892689297907","0.1710892689297907"
"12","0.6240234375","0.6240234375","0.6240234375","0.66015625","0.66015625","0.66015625","0.373046875","0.373046875","0.373046875","0.0029296875","0.0029296875","0.0029296875","0.3359375","0.3359375","0.3359375","0.00390625","0.00390625","0.00390625","0.16519777587382123","0.16519777587382123","0.16519777587382123","0.611328125","0.611328125","0.611328125","0.6259765625","0.6259765625","0.6259765625","0.3828125","0.3828125","0.3828125","0.005859375","0.005859375","0.005859375","0.3681640625","0.3681640625","0.3681640625","0.005859375","0.005859375","0.005859375","0.17946237255819142","0.17946237255819142","0.17946237255819142","0.6494140625","0.6494140625","0.6494140625","0.6083984375","0.6083984375","0.6083984375","0.34765625","0.34765625","0.34765625","0.0029296875","0.0029296875","0.0029296875","0.390625","0.390625","0.390625","0.0009765625","0.0009765625","0.0009765625","0.16475542343687266","0.16475542343687266","0.16475542343687266"
"13","0.626953125","0.626953125","0.626953125","0.7265625","0.7265625","0.7265625","0.3701171875","0.3701171875","0.3701171875","0.0029296875","0.0029296875","0.0029296875","0.26953125","0.26953125","0.26953125","0.00390625","0.00390625","0.00390625","0.15384323205216788","0.15384323205216788","0.15384323205216788","0.6318359375","0.6318359375","0.6318359375","0.7255859375","0.7255859375","0.7255859375","0.3642578125","0.3642578125","0.3642578125","0.00390625","0.00390625","0.00390625","0.265625","0.265625","0.265625","0.0087890625","0.0087890625","0.0087890625","0.1628752878459636","0.1628752878459636","0.1628752878459636","0.6015625","0.6015625","0.6015625","0.67578125","0.67578125","0.67578125","0.3935546875","0.3935546875","0.3935546875","0.0048828125","0.0048828125","0.0048828125","0.3232421875","0.3232421875","0.3232421875","0.0009765625","0.0009765625","0.0009765625","0.1752760037779808","0.1752760037779808","0.1752760037779808"
"14","0.6376953125","0.6376953125","0.6376953125","0.6142578125","0.6142578125","0.6142578125","0.3583984375","0.3583984375","0.3583984375","0.00390625","0.00390625","0.00390625","0.384765625","0.384765625","0.384765625","0.0009765625","0.0009765625","0.0009765625","0.1517645759449806","0.1517645759449806","0.1517645759449806","0.63671875","0.63671875","0.63671875","0.5751953125","0.5751953125","0.5751953125","0.3603515625","0.3603515625","0.3603515625","0.0029296875","0.0029296875","0.0029296875","0.4228515625","0.4228515625","0.4228515625","0.001953125","0.001953125","0.001953125","0.15293362954980694","0.15293362954980694","0.15293362954980694","0.6416015625","0.6416015625","0.6416015625","0.59765625","0.59765625","0.59765625","0.3525390625","0.3525390625","0.3525390625","0.005859375","0.005859375","0.005859375","0.40234375","0.40234375","0.40234375","0","0","0","0.15952388281584717","0.15952388281584717","0.15952388281584717"
"15","0.6728515625","0.6728515625","0.6728515625","0.6865234375","0.6865234375","0.6865234375","0.3271484375","0.3271484375","0.3271484375","0","0","0","0.3134765625","0.3134765625","0.3134765625","0","0","0","0.14635255876055453","0.14635255876055453","0.14635255876055453","0.62890625","0.62890625","0.62890625","0.7001953125","0.7001953125","0.7001953125","0.3701171875","0.3701171875","0.3701171875","0.0009765625","0.0009765625","0.0009765625","0.294921875","0.294921875","0.294921875","0.0048828125","0.0048828125","0.0048828125","0.14277009255602024","0.14277009255602024","0.14277009255602024","0.63671875","0.63671875","0.63671875","0.65625","0.65625","0.65625","0.361328125","0.361328125","0.361328125","0.001953125","0.001953125","0.001953125","0.3427734375","0.3427734375","0.3427734375","0.0009765625","0.0009765625","0.0009765625","0.1473945631296374","0.1473945631296374","0.1473945631296374"
"16","0.65625","0.65625","0.65625","0.67578125","0.67578125","0.67578125","0.3408203125","0.3408203125","0.3408203125","0.0029296875","0.0029296875","0.0029296875","0.3203125","0.3203125","0.3203125","0.00390625","0.00390625","0.00390625","0.14565731727634557","0.14565731727634557","0.14565731727634557","0.6591796875","0.6591796875","0.6591796875","0.5986328125","0.5986328125","0.5986328125","0.3388671875","0.3388671875","0.3388671875","0.001953125","0.001953125","0.001953125","0.400390625","0.400390625","0.400390625","0.0009765625","0.0009765625","0.0009765625","0.15525348292430863","0.15525348292430863","0.15525348292430863","0.6396484375","0.6396484375","0.6396484375","0.6484375","0.6484375","0.6484375","0.357421875","0.357421875","0.357421875","0.0029296875","0.0029296875","0.0029296875","0.3515625","0.3515625","0.3515625","0","0","0","0.1658039447356714","0.1658039447356714","0.1658039447356714"
"17","0.6376953125","0.6376953125","0.6376953125","0.5927734375","0.5927734375","0.5927734375","0.3603515625","0.3603515625","0.3603515625","0.001953125","0.001953125","0.001953125","0.40625","0.40625","0.40625","0.0009765625","0.0009765625","0.0009765625","0.16052441485226154","0.16052441485226154","0.16052441485226154","0.6474609375","0.6474609375","0.6474609375","0.6083984375","0.6083984375","0.6083984375","0.3515625","0.3515625","0.3515625","0.0009765625","0.0009765625","0.0009765625","0.390625","0.390625","0.390625","0.0009765625","0.0009765625","0.0009765625","0.15141853448585607","0.15141853448585607","0.15141853448585607","0.650390625","0.650390625","0.650390625","0.755859375","0.755859375","0.755859375","0.3486328125","0.3486328125","0.3486328125","0.0009765625","0.0009765625","0.0009765625","0.240234375","0.240234375","0.240234375","0.00390625","0.00390625","0.00390625","0.14825954101979733","0.14825954101979733","0.14825954101979733"
"18","0.6904296875","0.6904296875","0.6904296875","0.740234375","0.740234375","0.740234375","0.3095703125","0.3095703125","0.3095703125","0","0","0","0.2529296875","0.2529296875","0.2529296875","0.0068359375","0.0068359375","0.0068359375","0.12769989177468233","0.12769989177468233","0.12769989177468233","0.66015625","0.66015625","0.66015625","0.7353515625","0.7353515625","0.7353515625","0.337890625","0.337890625","0.337890625","0.001953125","0.001953125","0.001953125","0.259765625","0.259765625","0.259765625","0.0048828125","0.0048828125","0.0048828125","0.14718684581748676","0.14718684581748676","0.14718684581748676","0.681640625","0.681640625","0.681640625","0.693359375","0.693359375","0.693359375","0.3154296875","0.3154296875","0.3154296875","0.0029296875","0.0029296875","0.0029296875","0.3046875","0.3046875","0.3046875","0.001953125","0.001953125","0.001953125","0.13753234660543967","0.13753234660543967","0.13753234660543967"
"19","0.6640625","0.6640625","0.6640625","0.671875","0.671875","0.671875","0.333984375","0.333984375","0.333984375","0.001953125","0.001953125","0.001953125","0.3251953125","0.3251953125","0.3251953125","0.0029296875","0.0029296875","0.0029296875","0.14369622786762193","0.14369622786762193","0.14369622786762193","0.65625","0.65625","0.65625","0.619140625","0.619140625","0.619140625","0.34375","0.34375","0.34375","0","0","0","0.3779296875","0.3779296875","0.3779296875","0.0029296875","0.0029296875","0.0029296875","0.15375716442940757","0.15375716442940757","0.15375716442940757","0.68359375","0.68359375","0.68359375","0.6923828125","0.6923828125","0.6923828125","0.3154296875","0.3154296875","0.3154296875","0.0009765625","0.0009765625","0.0009765625","0.3046875","0.3046875","0.3046875","0.0029296875","0.0029296875","0.0029296875","0.1412674340099329","0.1412674340099329","0.1412674340099329"
