"Step","2of3 - accuracy","2of3 - accuracy__MIN","2of3 - accuracy__MAX","2of3 - test_accuracy","2of3 - test_accuracy__MIN","2of3 - test_accuracy__MAX","2of3 - err1","2of3 - err1__MIN","2of3 - err1__MAX","2of3 - err2","2of3 - err2__MIN","2of3 - err2__MAX","2of3 - test_err1","2of3 - test_err1__MIN","2of3 - test_err1__MAX","2of3 - test_err2","2of3 - test_err2__MIN","2of3 - test_err2__MAX","2of3 - loss","2of3 - loss__MIN","2of3 - loss__MAX","1of3 - accuracy","1of3 - accuracy__MIN","1of3 - accuracy__MAX","1of3 - test_accuracy","1of3 - test_accuracy__MIN","1of3 - test_accuracy__MAX","1of3 - err1","1of3 - err1__MIN","1of3 - err1__MAX","1of3 - err2","1of3 - err2__MIN","1of3 - err2__MAX","1of3 - test_err1","1of3 - test_err1__MIN","1of3 - test_err1__MAX","1of3 - test_err2","1of3 - test_err2__MIN","1of3 - test_err2__MAX","1of3 - loss","1of3 - loss__MIN","1of3 - loss__MAX","0of3 - accuracy","0of3 - accuracy__MIN","0of3 - accuracy__MAX","0of3 - test_accuracy","0of3 - test_accuracy__MIN","0of3 - test_accuracy__MAX","0of3 - err1","0of3 - err1__MIN","0of3 - err1__MAX","0of3 - err2","0of3 - err2__MIN","0of3 - err2__MAX","0of3 - test_err1","0of3 - test_err1__MIN","0of3 - test_err1__MAX","0of3 - test_err2","0of3 - test_err2__MIN","0of3 - test_err2__MAX","0of3 - loss","0of3 - loss__MIN","0of3 - loss__MAX"
"50","0.7041015625","0.7041015625","0.7041015625","0.619140625","0.619140625","0.619140625","0.29296875","0.29296875","0.29296875","0.0029296875","0.0029296875","0.0029296875","0.380859375","0.380859375","0.380859375","0","0","0","0.11847696742916014","0.11847696742916014","0.11847696742916014","0.7236328125","0.7236328125","0.7236328125","0.689453125","0.689453125","0.689453125","0.2763671875","0.2763671875","0.2763671875","0","0","0","0.3095703125","0.3095703125","0.3095703125","0.0009765625","0.0009765625","0.0009765625","0.10530845925677568","0.10530845925677568","0.10530845925677568","0.716796875","0.716796875","0.716796875","0.7451171875","0.7451171875","0.7451171875","0.28125","0.28125","0.28125","0.001953125","0.001953125","0.001953125","0.251953125","0.251953125","0.251953125","0.0029296875","0.0029296875","0.0029296875","0.11296560253686039","0.11296560253686039","0.11296560253686039"
"51","0.716796875","0.716796875","0.716796875","0.6171875","0.6171875","0.6171875","0.28125","0.28125","0.28125","0.001953125","0.001953125","0.001953125","0.3828125","0.3828125","0.3828125","0","0","0","0.11056245198415127","0.11056245198415127","0.11056245198415127","0.7451171875","0.7451171875","0.7451171875","0.7265625","0.7265625","0.7265625","0.2548828125","0.2548828125","0.2548828125","0","0","0","0.2724609375","0.2724609375","0.2724609375","0.0009765625","0.0009765625","0.0009765625","0.1037639611022314","0.1037639611022314","0.1037639611022314","0.75","0.75","0.75","0.7119140625","0.7119140625","0.7119140625","0.2490234375","0.2490234375","0.2490234375","0.0009765625","0.0009765625","0.0009765625","0.2880859375","0.2880859375","0.2880859375","0","0","0","0.10063024720875546","0.10063024720875546","0.10063024720875546"
"52","0.716796875","0.716796875","0.716796875","0.7529296875","0.7529296875","0.7529296875","0.2822265625","0.2822265625","0.2822265625","0.0009765625","0.0009765625","0.0009765625","0.24609375","0.24609375","0.24609375","0.0009765625","0.0009765625","0.0009765625","0.10691579295962583","0.10691579295962583","0.10691579295962583","0.7294921875","0.7294921875","0.7294921875","0.705078125","0.705078125","0.705078125","0.26953125","0.26953125","0.26953125","0.0009765625","0.0009765625","0.0009765625","0.294921875","0.294921875","0.294921875","0","0","0","0.11038369260495529","0.11038369260495529","0.11038369260495529","0.728515625","0.728515625","0.728515625","0.72265625","0.72265625","0.72265625","0.2705078125","0.2705078125","0.2705078125","0.0009765625","0.0009765625","0.0009765625","0.2763671875","0.2763671875","0.2763671875","0.0009765625","0.0009765625","0.0009765625","0.11312617697694805","0.11312617697694805","0.11312617697694805"
"53","0.73046875","0.73046875","0.73046875","0.7060546875","0.7060546875","0.7060546875","0.2685546875","0.2685546875","0.2685546875","0.0009765625","0.0009765625","0.0009765625","0.2919921875","0.2919921875","0.2919921875","0.001953125","0.001953125","0.001953125","0.10282757443928858","0.10282757443928858","0.10282757443928858","0.728515625","0.728515625","0.728515625","0.6669921875","0.6669921875","0.6669921875","0.26953125","0.26953125","0.26953125","0.001953125","0.001953125","0.001953125","0.330078125","0.330078125","0.330078125","0.0029296875","0.0029296875","0.0029296875","0.11003768720547669","0.11003768720547669","0.11003768720547669","0.7314453125","0.7314453125","0.7314453125","0.6953125","0.6953125","0.6953125","0.265625","0.265625","0.265625","0.0029296875","0.0029296875","0.0029296875","0.3037109375","0.3037109375","0.3037109375","0.0009765625","0.0009765625","0.0009765625","0.11003553400951205","0.11003553400951205","0.11003553400951205"
"54","0.728515625","0.728515625","0.728515625","0.6318359375","0.6318359375","0.6318359375","0.26953125","0.26953125","0.26953125","0.001953125","0.001953125","0.001953125","0.3681640625","0.3681640625","0.3681640625","0","0","0","0.11605911010701675","0.11605911010701675","0.11605911010701675","0.7021484375","0.7021484375","0.7021484375","0.6884765625","0.6884765625","0.6884765625","0.296875","0.296875","0.296875","0.0009765625","0.0009765625","0.0009765625","0.3115234375","0.3115234375","0.3115234375","0","0","0","0.10967877006623894","0.10967877006623894","0.10967877006623894","0.7236328125","0.7236328125","0.7236328125","0.5908203125","0.5908203125","0.5908203125","0.2734375","0.2734375","0.2734375","0.0029296875","0.0029296875","0.0029296875","0.4091796875","0.4091796875","0.4091796875","0","0","0","0.1174757542903535","0.1174757542903535","0.1174757542903535"
"55","0.7080078125","0.7080078125","0.7080078125","0.7021484375","0.7021484375","0.7021484375","0.2890625","0.2890625","0.2890625","0.0029296875","0.0029296875","0.0029296875","0.2978515625","0.2978515625","0.2978515625","0","0","0","0.12204048938292544","0.12204048938292544","0.12204048938292544","0.734375","0.734375","0.734375","0.6357421875","0.6357421875","0.6357421875","0.263671875","0.263671875","0.263671875","0.001953125","0.001953125","0.001953125","0.36328125","0.36328125","0.36328125","0.0009765625","0.0009765625","0.0009765625","0.10666888594278134","0.10666888594278134","0.10666888594278134","0.7099609375","0.7099609375","0.7099609375","0.6982421875","0.6982421875","0.6982421875","0.2890625","0.2890625","0.2890625","0.0009765625","0.0009765625","0.0009765625","0.3017578125","0.3017578125","0.3017578125","0","0","0","0.12420081168238539","0.12420081168238539","0.12420081168238539"
"56","0.7451171875","0.7451171875","0.7451171875","0.7333984375","0.7333984375","0.7333984375","0.2548828125","0.2548828125","0.2548828125","0","0","0","0.263671875","0.263671875","0.263671875","0.0029296875","0.0029296875","0.0029296875","0.09150004845287185","0.09150004845287185","0.09150004845287185","0.7216796875","0.7216796875","0.7216796875","0.7353515625","0.7353515625","0.7353515625","0.2763671875","0.2763671875","0.2763671875","0.001953125","0.001953125","0.001953125","0.26171875","0.26171875","0.26171875","0.0029296875","0.0029296875","0.0029296875","0.10426579372142442","0.10426579372142442","0.10426579372142442","0.740234375","0.740234375","0.740234375","0.7060546875","0.7060546875","0.7060546875","0.259765625","0.259765625","0.259765625","0","0","0","0.29296875","0.29296875","0.29296875","0.0009765625","0.0009765625","0.0009765625","0.08969898328359704","0.08969898328359704","0.08969898328359704"
"57","0.7314453125","0.7314453125","0.7314453125","0.771484375","0.771484375","0.771484375","0.267578125","0.267578125","0.267578125","0.0009765625","0.0009765625","0.0009765625","0.2255859375","0.2255859375","0.2255859375","0.0029296875","0.0029296875","0.0029296875","0.11391165164968697","0.11391165164968697","0.11391165164968697","0.72265625","0.72265625","0.72265625","0.685546875","0.685546875","0.685546875","0.2734375","0.2734375","0.2734375","0.00390625","0.00390625","0.00390625","0.3125","0.3125","0.3125","0.001953125","0.001953125","0.001953125","0.10974095809433493","0.10974095809433493","0.10974095809433493","0.7265625","0.7265625","0.7265625","0.681640625","0.681640625","0.681640625","0.271484375","0.271484375","0.271484375","0.001953125","0.001953125","0.001953125","0.318359375","0.318359375","0.318359375","0","0","0","0.10731442434189375","0.10731442434189375","0.10731442434189375"
"58","0.7021484375","0.7021484375","0.7021484375","0.7841796875","0.7841796875","0.7841796875","0.2958984375","0.2958984375","0.2958984375","0.001953125","0.001953125","0.001953125","0.2158203125","0.2158203125","0.2158203125","0","0","0","0.1164894726825878","0.1164894726825878","0.1164894726825878","0.6982421875","0.6982421875","0.6982421875","0.708984375","0.708984375","0.708984375","0.298828125","0.298828125","0.298828125","0.0029296875","0.0029296875","0.0029296875","0.2900390625","0.2900390625","0.2900390625","0.0009765625","0.0009765625","0.0009765625","0.11691164052172098","0.11691164052172098","0.11691164052172098","0.732421875","0.732421875","0.732421875","0.65625","0.65625","0.65625","0.267578125","0.267578125","0.267578125","0","0","0","0.34375","0.34375","0.34375","0","0","0","0.11149371280043852","0.11149371280043852","0.11149371280043852"
"59","0.736328125","0.736328125","0.736328125","0.6826171875","0.6826171875","0.6826171875","0.2626953125","0.2626953125","0.2626953125","0.0009765625","0.0009765625","0.0009765625","0.31640625","0.31640625","0.31640625","0.0009765625","0.0009765625","0.0009765625","0.11300333091639914","0.11300333091639914","0.11300333091639914","0.705078125","0.705078125","0.705078125","0.71484375","0.71484375","0.71484375","0.2919921875","0.2919921875","0.2919921875","0.0029296875","0.0029296875","0.0029296875","0.28515625","0.28515625","0.28515625","0","0","0","0.11826992215355858","0.11826992215355858","0.11826992215355858","0.7109375","0.7109375","0.7109375","0.763671875","0.763671875","0.763671875","0.2890625","0.2890625","0.2890625","0","0","0","0.2333984375","0.2333984375","0.2333984375","0.0029296875","0.0029296875","0.0029296875","0.123520120876492","0.123520120876492","0.123520120876492"
"60","0.736328125","0.736328125","0.736328125","0.767578125","0.767578125","0.767578125","0.2626953125","0.2626953125","0.2626953125","0.0009765625","0.0009765625","0.0009765625","0.232421875","0.232421875","0.232421875","0","0","0","0.10222289167359122","0.10222289167359122","0.10222289167359122","0.7294921875","0.7294921875","0.7294921875","0.6689453125","0.6689453125","0.6689453125","0.2685546875","0.2685546875","0.2685546875","0.001953125","0.001953125","0.001953125","0.3291015625","0.3291015625","0.3291015625","0.001953125","0.001953125","0.001953125","0.10718700613506371","0.10718700613506371","0.10718700613506371","0.72265625","0.72265625","0.72265625","0.7900390625","0.7900390625","0.7900390625","0.2763671875","0.2763671875","0.2763671875","0.0009765625","0.0009765625","0.0009765625","0.205078125","0.205078125","0.205078125","0.0048828125","0.0048828125","0.0048828125","0.11784274374076631","0.11784274374076631","0.11784274374076631"
"61","0.7314453125","0.7314453125","0.7314453125","0.716796875","0.716796875","0.716796875","0.2646484375","0.2646484375","0.2646484375","0.00390625","0.00390625","0.00390625","0.283203125","0.283203125","0.283203125","0","0","0","0.10307732265209779","0.10307732265209779","0.10307732265209779","0.7265625","0.7265625","0.7265625","0.666015625","0.666015625","0.666015625","0.2734375","0.2734375","0.2734375","0","0","0","0.333984375","0.333984375","0.333984375","0","0","0","0.11027676353114657","0.11027676353114657","0.11027676353114657","0.7275390625","0.7275390625","0.7275390625","0.638671875","0.638671875","0.638671875","0.271484375","0.271484375","0.271484375","0.0009765625","0.0009765625","0.0009765625","0.3603515625","0.3603515625","0.3603515625","0.0009765625","0.0009765625","0.0009765625","0.10853297710127663","0.10853297710127663","0.10853297710127663"
"62","0.73828125","0.73828125","0.73828125","0.7880859375","0.7880859375","0.7880859375","0.259765625","0.259765625","0.259765625","0.001953125","0.001953125","0.001953125","0.2099609375","0.2099609375","0.2099609375","0.001953125","0.001953125","0.001953125","0.1036578329076292","0.1036578329076292","0.1036578329076292","0.73828125","0.73828125","0.73828125","0.66015625","0.66015625","0.66015625","0.2607421875","0.2607421875","0.2607421875","0.0009765625","0.0009765625","0.0009765625","0.33984375","0.33984375","0.33984375","0","0","0","0.10882854986266466","0.10882854986266466","0.10882854986266466","0.728515625","0.728515625","0.728515625","0.697265625","0.697265625","0.697265625","0.2705078125","0.2705078125","0.2705078125","0.0009765625","0.0009765625","0.0009765625","0.30078125","0.30078125","0.30078125","0.001953125","0.001953125","0.001953125","0.10440320654015522","0.10440320654015522","0.10440320654015522"
"63","0.7353515625","0.7353515625","0.7353515625","0.7685546875","0.7685546875","0.7685546875","0.263671875","0.263671875","0.263671875","0.0009765625","0.0009765625","0.0009765625","0.2294921875","0.2294921875","0.2294921875","0.001953125","0.001953125","0.001953125","0.10610725320293568","0.10610725320293568","0.10610725320293568","0.7353515625","0.7353515625","0.7353515625","0.6787109375","0.6787109375","0.6787109375","0.263671875","0.263671875","0.263671875","0.0009765625","0.0009765625","0.0009765625","0.3212890625","0.3212890625","0.3212890625","0","0","0","0.10288777874666266","0.10288777874666266","0.10288777874666266","0.7294921875","0.7294921875","0.7294921875","0.798828125","0.798828125","0.798828125","0.26953125","0.26953125","0.26953125","0.0009765625","0.0009765625","0.0009765625","0.1982421875","0.1982421875","0.1982421875","0.0029296875","0.0029296875","0.0029296875","0.10517065203748643","0.10517065203748643","0.10517065203748643"
"64","0.7236328125","0.7236328125","0.7236328125","0.7998046875","0.7998046875","0.7998046875","0.2744140625","0.2744140625","0.2744140625","0.001953125","0.001953125","0.001953125","0.19921875","0.19921875","0.19921875","0.0009765625","0.0009765625","0.0009765625","0.0990529859700473","0.0990529859700473","0.0990529859700473","0.7421875","0.7421875","0.7421875","0.81640625","0.81640625","0.81640625","0.255859375","0.255859375","0.255859375","0.001953125","0.001953125","0.001953125","0.1806640625","0.1806640625","0.1806640625","0.0029296875","0.0029296875","0.0029296875","0.09423541979049332","0.09423541979049332","0.09423541979049332","0.765625","0.765625","0.765625","0.7978515625","0.7978515625","0.7978515625","0.234375","0.234375","0.234375","0","0","0","0.1982421875","0.1982421875","0.1982421875","0.00390625","0.00390625","0.00390625","0.09321406989056413","0.09321406989056413","0.09321406989056413"
"65","0.7333984375","0.7333984375","0.7333984375","0.7177734375","0.7177734375","0.7177734375","0.265625","0.265625","0.265625","0.0009765625","0.0009765625","0.0009765625","0.2783203125","0.2783203125","0.2783203125","0.00390625","0.00390625","0.00390625","0.10535004205303267","0.10535004205303267","0.10535004205303267","0.744140625","0.744140625","0.744140625","0.7548828125","0.7548828125","0.7548828125","0.255859375","0.255859375","0.255859375","0","0","0","0.2412109375","0.2412109375","0.2412109375","0.00390625","0.00390625","0.00390625","0.10434793746389914","0.10434793746389914","0.10434793746389914","0.736328125","0.736328125","0.736328125","0.7890625","0.7890625","0.7890625","0.26171875","0.26171875","0.26171875","0.001953125","0.001953125","0.001953125","0.2109375","0.2109375","0.2109375","0","0","0","0.10192665111389942","0.10192665111389942","0.10192665111389942"
"66","0.7255859375","0.7255859375","0.7255859375","0.6845703125","0.6845703125","0.6845703125","0.2734375","0.2734375","0.2734375","0.0009765625","0.0009765625","0.0009765625","0.3154296875","0.3154296875","0.3154296875","0","0","0","0.1127466083271429","0.1127466083271429","0.1127466083271429","0.7353515625","0.7353515625","0.7353515625","0.767578125","0.767578125","0.767578125","0.26171875","0.26171875","0.26171875","0.0029296875","0.0029296875","0.0029296875","0.2294921875","0.2294921875","0.2294921875","0.0029296875","0.0029296875","0.0029296875","0.10172512873396045","0.10172512873396045","0.10172512873396045","0.751953125","0.751953125","0.751953125","0.7431640625","0.7431640625","0.7431640625","0.2470703125","0.2470703125","0.2470703125","0.0009765625","0.0009765625","0.0009765625","0.25390625","0.25390625","0.25390625","0.0029296875","0.0029296875","0.0029296875","0.0989595710143476","0.0989595710143476","0.0989595710143476"
"67","0.75","0.75","0.75","0.7880859375","0.7880859375","0.7880859375","0.25","0.25","0.25","0","0","0","0.208984375","0.208984375","0.208984375","0.0029296875","0.0029296875","0.0029296875","0.09611735143698752","0.09611735143698752","0.09611735143698752","0.720703125","0.720703125","0.720703125","0.734375","0.734375","0.734375","0.27734375","0.27734375","0.27734375","0.001953125","0.001953125","0.001953125","0.263671875","0.263671875","0.263671875","0.001953125","0.001953125","0.001953125","0.09999720577616245","0.09999720577616245","0.09999720577616245","0.7294921875","0.7294921875","0.7294921875","0.798828125","0.798828125","0.798828125","0.2685546875","0.2685546875","0.2685546875","0.001953125","0.001953125","0.001953125","0.201171875","0.201171875","0.201171875","0","0","0","0.1028321526646323","0.1028321526646323","0.1028321526646323"
"68","0.748046875","0.748046875","0.748046875","0.7998046875","0.7998046875","0.7998046875","0.25","0.25","0.25","0.001953125","0.001953125","0.001953125","0.197265625","0.197265625","0.197265625","0.0029296875","0.0029296875","0.0029296875","0.09885586340351438","0.09885586340351438","0.09885586340351438","0.7392578125","0.7392578125","0.7392578125","0.7431640625","0.7431640625","0.7431640625","0.2578125","0.2578125","0.2578125","0.0029296875","0.0029296875","0.0029296875","0.255859375","0.255859375","0.255859375","0.0009765625","0.0009765625","0.0009765625","0.09723054322239477","0.09723054322239477","0.09723054322239477","0.7470703125","0.7470703125","0.7470703125","0.765625","0.765625","0.765625","0.25","0.25","0.25","0.0029296875","0.0029296875","0.0029296875","0.2294921875","0.2294921875","0.2294921875","0.0048828125","0.0048828125","0.0048828125","0.09527983673615381","0.09527983673615381","0.09527983673615381"
"69","0.728515625","0.728515625","0.728515625","0.7314453125","0.7314453125","0.7314453125","0.26953125","0.26953125","0.26953125","0.001953125","0.001953125","0.001953125","0.267578125","0.267578125","0.267578125","0.0009765625","0.0009765625","0.0009765625","0.09740068690734915","0.09740068690734915","0.09740068690734915","0.7509765625","0.7509765625","0.7509765625","0.6494140625","0.6494140625","0.6494140625","0.248046875","0.248046875","0.248046875","0.0009765625","0.0009765625","0.0009765625","0.349609375","0.349609375","0.349609375","0.0009765625","0.0009765625","0.0009765625","0.087859370483784","0.087859370483784","0.087859370483784","0.7060546875","0.7060546875","0.7060546875","0.67578125","0.67578125","0.67578125","0.291015625","0.291015625","0.291015625","0.0029296875","0.0029296875","0.0029296875","0.32421875","0.32421875","0.32421875","0","0","0","0.10784047371998895","0.10784047371998895","0.10784047371998895"
"70","0.7646484375","0.7646484375","0.7646484375","0.775390625","0.775390625","0.775390625","0.234375","0.234375","0.234375","0.0009765625","0.0009765625","0.0009765625","0.224609375","0.224609375","0.224609375","0","0","0","0.09770932130049914","0.09770932130049914","0.09770932130049914","0.7509765625","0.7509765625","0.7509765625","0.755859375","0.755859375","0.755859375","0.2470703125","0.2470703125","0.2470703125","0.001953125","0.001953125","0.001953125","0.2431640625","0.2431640625","0.2431640625","0.0009765625","0.0009765625","0.0009765625","0.10068496168241836","0.10068496168241836","0.10068496168241836","0.7431640625","0.7431640625","0.7431640625","0.73046875","0.73046875","0.73046875","0.255859375","0.255859375","0.255859375","0.0009765625","0.0009765625","0.0009765625","0.267578125","0.267578125","0.267578125","0.001953125","0.001953125","0.001953125","0.09517665402381681","0.09517665402381681","0.09517665402381681"
"71","0.736328125","0.736328125","0.736328125","0.765625","0.765625","0.765625","0.26171875","0.26171875","0.26171875","0.001953125","0.001953125","0.001953125","0.2333984375","0.2333984375","0.2333984375","0.0009765625","0.0009765625","0.0009765625","0.10322463334887289","0.10322463334887289","0.10322463334887289","0.7451171875","0.7451171875","0.7451171875","0.6728515625","0.6728515625","0.6728515625","0.2529296875","0.2529296875","0.2529296875","0.001953125","0.001953125","0.001953125","0.3271484375","0.3271484375","0.3271484375","0","0","0","0.10328536556335166","0.10328536556335166","0.10328536556335166","0.73828125","0.73828125","0.73828125","0.7109375","0.7109375","0.7109375","0.259765625","0.259765625","0.259765625","0.001953125","0.001953125","0.001953125","0.2890625","0.2890625","0.2890625","0","0","0","0.1094028551451629","0.1094028551451629","0.1094028551451629"
"72","0.76953125","0.76953125","0.76953125","0.77734375","0.77734375","0.77734375","0.2294921875","0.2294921875","0.2294921875","0.0009765625","0.0009765625","0.0009765625","0.22265625","0.22265625","0.22265625","0","0","0","0.0943443537762505","0.0943443537762505","0.0943443537762505","0.75","0.75","0.75","0.6796875","0.6796875","0.6796875","0.248046875","0.248046875","0.248046875","0.001953125","0.001953125","0.001953125","0.3203125","0.3203125","0.3203125","0","0","0","0.10136370794498362","0.10136370794498362","0.10136370794498362","0.7548828125","0.7548828125","0.7548828125","0.69140625","0.69140625","0.69140625","0.2431640625","0.2431640625","0.2431640625","0.001953125","0.001953125","0.001953125","0.30859375","0.30859375","0.30859375","0","0","0","0.09491308312135516","0.09491308312135516","0.09491308312135516"
"73","0.75","0.75","0.75","0.7880859375","0.7880859375","0.7880859375","0.25","0.25","0.25","0","0","0","0.2099609375","0.2099609375","0.2099609375","0.001953125","0.001953125","0.001953125","0.099647127368371","0.099647127368371","0.099647127368371","0.7451171875","0.7451171875","0.7451171875","0.7314453125","0.7314453125","0.7314453125","0.2548828125","0.2548828125","0.2548828125","0","0","0","0.267578125","0.267578125","0.267578125","0.0009765625","0.0009765625","0.0009765625","0.09896852518431842","0.09896852518431842","0.09896852518431842","0.7353515625","0.7353515625","0.7353515625","0.705078125","0.705078125","0.705078125","0.263671875","0.263671875","0.263671875","0.0009765625","0.0009765625","0.0009765625","0.2939453125","0.2939453125","0.2939453125","0.0009765625","0.0009765625","0.0009765625","0.10423074477876071","0.10423074477876071","0.10423074477876071"
"74","0.7548828125","0.7548828125","0.7548828125","0.72265625","0.72265625","0.72265625","0.244140625","0.244140625","0.244140625","0.0009765625","0.0009765625","0.0009765625","0.2763671875","0.2763671875","0.2763671875","0.0009765625","0.0009765625","0.0009765625","0.10342722564382711","0.10342722564382711","0.10342722564382711","0.69921875","0.69921875","0.69921875","0.68359375","0.68359375","0.68359375","0.2978515625","0.2978515625","0.2978515625","0.0029296875","0.0029296875","0.0029296875","0.31640625","0.31640625","0.31640625","0","0","0","0.11688560670881998","0.11688560670881998","0.11688560670881998","0.7431640625","0.7431640625","0.7431640625","0.791015625","0.791015625","0.791015625","0.2548828125","0.2548828125","0.2548828125","0.001953125","0.001953125","0.001953125","0.205078125","0.205078125","0.205078125","0.00390625","0.00390625","0.00390625","0.10264475224539638","0.10264475224539638","0.10264475224539638"
"75","0.751953125","0.751953125","0.751953125","0.7353515625","0.7353515625","0.7353515625","0.2470703125","0.2470703125","0.2470703125","0.0009765625","0.0009765625","0.0009765625","0.2646484375","0.2646484375","0.2646484375","0","0","0","0.09142866449838039","0.09142866449838039","0.09142866449838039","0.75","0.75","0.75","0.751953125","0.751953125","0.751953125","0.25","0.25","0.25","0","0","0","0.2470703125","0.2470703125","0.2470703125","0.0009765625","0.0009765625","0.0009765625","0.09676498016051482","0.09676498016051482","0.09676498016051482","0.7529296875","0.7529296875","0.7529296875","0.7431640625","0.7431640625","0.7431640625","0.244140625","0.244140625","0.244140625","0.0029296875","0.0029296875","0.0029296875","0.255859375","0.255859375","0.255859375","0.0009765625","0.0009765625","0.0009765625","0.09969989449018613","0.09969989449018613","0.09969989449018613"
"76","0.7490234375","0.7490234375","0.7490234375","0.6982421875","0.6982421875","0.6982421875","0.25","0.25","0.25","0.0009765625","0.0009765625","0.0009765625","0.3017578125","0.3017578125","0.3017578125","0","0","0","0.09813932107499568","0.09813932107499568","0.09813932107499568","0.73828125","0.73828125","0.73828125","0.681640625","0.681640625","0.681640625","0.2607421875","0.2607421875","0.2607421875","0.0009765625","0.0009765625","0.0009765625","0.318359375","0.318359375","0.318359375","0","0","0","0.1004281908608391","0.1004281908608391","0.1004281908608391","0.7490234375","0.7490234375","0.7490234375","0.6875","0.6875","0.6875","0.25","0.25","0.25","0.0009765625","0.0009765625","0.0009765625","0.310546875","0.310546875","0.310546875","0.001953125","0.001953125","0.001953125","0.09500249742268352","0.09500249742268352","0.09500249742268352"
"77","0.740234375","0.740234375","0.740234375","0.6591796875","0.6591796875","0.6591796875","0.2568359375","0.2568359375","0.2568359375","0.0029296875","0.0029296875","0.0029296875","0.3408203125","0.3408203125","0.3408203125","0","0","0","0.09377327469701413","0.09377327469701413","0.09377327469701413","0.7529296875","0.7529296875","0.7529296875","0.634765625","0.634765625","0.634765625","0.2451171875","0.2451171875","0.2451171875","0.001953125","0.001953125","0.001953125","0.365234375","0.365234375","0.365234375","0","0","0","0.09562437768181553","0.09562437768181553","0.09562437768181553","0.71875","0.71875","0.71875","0.7626953125","0.7626953125","0.7626953125","0.279296875","0.279296875","0.279296875","0.001953125","0.001953125","0.001953125","0.236328125","0.236328125","0.236328125","0.0009765625","0.0009765625","0.0009765625","0.10545708014979027","0.10545708014979027","0.10545708014979027"
"78","0.7333984375","0.7333984375","0.7333984375","0.7490234375","0.7490234375","0.7490234375","0.265625","0.265625","0.265625","0.0009765625","0.0009765625","0.0009765625","0.25","0.25","0.25","0.0009765625","0.0009765625","0.0009765625","0.11034272325923666","0.11034272325923666","0.11034272325923666","0.75390625","0.75390625","0.75390625","0.732421875","0.732421875","0.732421875","0.2451171875","0.2451171875","0.2451171875","0.0009765625","0.0009765625","0.0009765625","0.267578125","0.267578125","0.267578125","0","0","0","0.09554145406582393","0.09554145406582393","0.09554145406582393","0.759765625","0.759765625","0.759765625","0.71484375","0.71484375","0.71484375","0.2392578125","0.2392578125","0.2392578125","0.0009765625","0.0009765625","0.0009765625","0.2841796875","0.2841796875","0.2841796875","0.0009765625","0.0009765625","0.0009765625","0.08920242232852615","0.08920242232852615","0.08920242232852615"
"79","0.7841796875","0.7841796875","0.7841796875","0.72265625","0.72265625","0.72265625","0.2158203125","0.2158203125","0.2158203125","0","0","0","0.27734375","0.27734375","0.27734375","0","0","0","0.09011623210972175","0.09011623210972175","0.09011623210972175","0.76953125","0.76953125","0.76953125","0.6318359375","0.6318359375","0.6318359375","0.2294921875","0.2294921875","0.2294921875","0.0009765625","0.0009765625","0.0009765625","0.3681640625","0.3681640625","0.3681640625","0","0","0","0.10006522334879264","0.10006522334879264","0.10006522334879264","0.759765625","0.759765625","0.759765625","0.755859375","0.755859375","0.755859375","0.2392578125","0.2392578125","0.2392578125","0.0009765625","0.0009765625","0.0009765625","0.2431640625","0.2431640625","0.2431640625","0.0009765625","0.0009765625","0.0009765625","0.09299160008959007","0.09299160008959007","0.09299160008959007"
"80","0.7587890625","0.7587890625","0.7587890625","0.8193359375","0.8193359375","0.8193359375","0.2392578125","0.2392578125","0.2392578125","0.001953125","0.001953125","0.001953125","0.177734375","0.177734375","0.177734375","0.0029296875","0.0029296875","0.0029296875","0.09096864826278761","0.09096864826278761","0.09096864826278761","0.71875","0.71875","0.71875","0.7265625","0.7265625","0.7265625","0.279296875","0.279296875","0.279296875","0.001953125","0.001953125","0.001953125","0.2724609375","0.2724609375","0.2724609375","0.0009765625","0.0009765625","0.0009765625","0.1113378777699836","0.1113378777699836","0.1113378777699836","0.748046875","0.748046875","0.748046875","0.7958984375","0.7958984375","0.7958984375","0.25","0.25","0.25","0.001953125","0.001953125","0.001953125","0.2001953125","0.2001953125","0.2001953125","0.00390625","0.00390625","0.00390625","0.09265421774762217","0.09265421774762217","0.09265421774762217"
"81","0.75390625","0.75390625","0.75390625","0.599609375","0.599609375","0.599609375","0.2451171875","0.2451171875","0.2451171875","0.0009765625","0.0009765625","0.0009765625","0.400390625","0.400390625","0.400390625","0","0","0","0.10015546191425528","0.10015546191425528","0.10015546191425528","0.7451171875","0.7451171875","0.7451171875","0.748046875","0.748046875","0.748046875","0.25390625","0.25390625","0.25390625","0.0009765625","0.0009765625","0.0009765625","0.251953125","0.251953125","0.251953125","0","0","0","0.10327981240698136","0.10327981240698136","0.10327981240698136","0.7490234375","0.7490234375","0.7490234375","0.732421875","0.732421875","0.732421875","0.2470703125","0.2470703125","0.2470703125","0.00390625","0.00390625","0.00390625","0.267578125","0.267578125","0.267578125","0","0","0","0.10267593257594854","0.10267593257594854","0.10267593257594854"
