"Step","2of3-test_accuracy","2of3-test_accuracy__MIN","2of3-test_accuracy__MAX","2of3-accuracy","2of3-accuracy__MIN","2of3-accuracy__MAX","2of3-test_err1","2of3-test_err1__MIN","2of3-test_err1__MAX","2of3-test_err2","2of3-test_err2__MIN","2of3-test_err2__MAX","2of3-err1","2of3-err1__MIN","2of3-err1__MAX","2of3-err2","2of3-err2__MIN","2of3-err2__MAX","2of3-loss","2of3-loss__MIN","2of3-loss__MAX","1of3-test_accuracy","1of3-test_accuracy__MIN","1of3-test_accuracy__MAX","1of3-accuracy","1of3-accuracy__MIN","1of3-accuracy__MAX","1of3-test_err1","1of3-test_err1__MIN","1of3-test_err1__MAX","1of3-test_err2","1of3-test_err2__MIN","1of3-test_err2__MAX","1of3-err1","1of3-err1__MIN","1of3-err1__MAX","1of3-err2","1of3-err2__MIN","1of3-err2__MAX","1of3-loss","1of3-loss__MIN","1of3-loss__MAX","0of3-test_accuracy","0of3-test_accuracy__MIN","0of3-test_accuracy__MAX","0of3-accuracy","0of3-accuracy__MIN","0of3-accuracy__MAX","0of3-test_err1","0of3-test_err1__MIN","0of3-test_err1__MAX","0of3-test_err2","0of3-test_err2__MIN","0of3-test_err2__MAX","0of3-err1","0of3-err1__MIN","0of3-err1__MAX","0of3-err2","0of3-err2__MIN","0of3-err2__MAX","0of3-loss","0of3-loss__MIN","0of3-loss__MAX"
"10","0.5751953125","0.5751953125","0.5751953125","0.6142578125","0.6142578125","0.6142578125","0.4248046875","0.4248046875","0.4248046875","0","0","0","0.384765625","0.384765625","0.384765625","0.0009765625","0.0009765625","0.0009765625","0.17123093429836445","0.17123093429836445","0.17123093429836445","0.6005859375","0.6005859375","0.6005859375","0.5927734375","0.5927734375","0.5927734375","0.3994140625","0.3994140625","0.3994140625","0","0","0","0.404296875","0.404296875","0.404296875","0.0029296875","0.0029296875","0.0029296875","0.18149861373240128","0.18149861373240128","0.18149861373240128","0.55078125","0.55078125","0.55078125","0.6318359375","0.6318359375","0.6318359375","0.4482421875","0.4482421875","0.4482421875","0.0009765625","0.0009765625","0.0009765625","0.3662109375","0.3662109375","0.3662109375","0.001953125","0.001953125","0.001953125","0.18227846315130591","0.18227846315130591","0.18227846315130591"
"11","0.697265625","0.697265625","0.697265625","0.615234375","0.615234375","0.615234375","0.2998046875","0.2998046875","0.2998046875","0.0029296875","0.0029296875","0.0029296875","0.3837890625","0.3837890625","0.3837890625","0.0009765625","0.0009765625","0.0009765625","0.17169393395306543","0.17169393395306543","0.17169393395306543","0.693359375","0.693359375","0.693359375","0.591796875","0.591796875","0.591796875","0.30078125","0.30078125","0.30078125","0.005859375","0.005859375","0.005859375","0.4052734375","0.4052734375","0.4052734375","0.0029296875","0.0029296875","0.0029296875","0.1758267549739685","0.1758267549739685","0.1758267549739685","0.7392578125","0.7392578125","0.7392578125","0.6123046875","0.6123046875","0.6123046875","0.2490234375","0.2490234375","0.2490234375","0.01171875","0.01171875","0.01171875","0.3837890625","0.3837890625","0.3837890625","0.00390625","0.00390625","0.00390625","0.17399152275174856","0.17399152275174856","0.17399152275174856"
"12","0.642578125","0.642578125","0.642578125","0.6064453125","0.6064453125","0.6064453125","0.35546875","0.35546875","0.35546875","0.001953125","0.001953125","0.001953125","0.3896484375","0.3896484375","0.3896484375","0.00390625","0.00390625","0.00390625","0.17433695691579487","0.17433695691579487","0.17433695691579487","0.6650390625","0.6650390625","0.6650390625","0.5927734375","0.5927734375","0.5927734375","0.3291015625","0.3291015625","0.3291015625","0.005859375","0.005859375","0.005859375","0.400390625","0.400390625","0.400390625","0.0068359375","0.0068359375","0.0068359375","0.18313492357265204","0.18313492357265204","0.18313492357265204","0.626953125","0.626953125","0.626953125","0.6103515625","0.6103515625","0.6103515625","0.37109375","0.37109375","0.37109375","0.001953125","0.001953125","0.001953125","0.3837890625","0.3837890625","0.3837890625","0.005859375","0.005859375","0.005859375","0.1820281580730807","0.1820281580730807","0.1820281580730807"
"13","0.5498046875","0.5498046875","0.5498046875","0.6220703125","0.6220703125","0.6220703125","0.44921875","0.44921875","0.44921875","0.0009765625","0.0009765625","0.0009765625","0.3759765625","0.3759765625","0.3759765625","0.001953125","0.001953125","0.001953125","0.17979794810526073","0.17979794810526073","0.17979794810526073","0.5517578125","0.5517578125","0.5517578125","0.625","0.625","0.625","0.4482421875","0.4482421875","0.4482421875","0","0","0","0.37109375","0.37109375","0.37109375","0.00390625","0.00390625","0.00390625","0.17760210292181","0.17760210292181","0.17760210292181","0.6396484375","0.6396484375","0.6396484375","0.6259765625","0.6259765625","0.6259765625","0.3544921875","0.3544921875","0.3544921875","0.005859375","0.005859375","0.005859375","0.37109375","0.37109375","0.37109375","0.0029296875","0.0029296875","0.0029296875","0.17932793876389042","0.17932793876389042","0.17932793876389042"
"14","0.671875","0.671875","0.671875","0.595703125","0.595703125","0.595703125","0.328125","0.328125","0.328125","0","0","0","0.400390625","0.400390625","0.400390625","0.00390625","0.00390625","0.00390625","0.17382245461340062","0.17382245461340062","0.17382245461340062","0.62109375","0.62109375","0.62109375","0.576171875","0.576171875","0.576171875","0.3759765625","0.3759765625","0.3759765625","0.0029296875","0.0029296875","0.0029296875","0.419921875","0.419921875","0.419921875","0.00390625","0.00390625","0.00390625","0.19727332732873037","0.19727332732873037","0.19727332732873037","0.6904296875","0.6904296875","0.6904296875","0.6103515625","0.6103515625","0.6103515625","0.306640625","0.306640625","0.306640625","0.0029296875","0.0029296875","0.0029296875","0.384765625","0.384765625","0.384765625","0.0048828125","0.0048828125","0.0048828125","0.17910096049308777","0.17910096049308777","0.17910096049308777"
"15","0.6640625","0.6640625","0.6640625","0.625","0.625","0.625","0.33203125","0.33203125","0.33203125","0.00390625","0.00390625","0.00390625","0.373046875","0.373046875","0.373046875","0.001953125","0.001953125","0.001953125","0.16050847666338086","0.16050847666338086","0.16050847666338086","0.66796875","0.66796875","0.66796875","0.59765625","0.59765625","0.59765625","0.3251953125","0.3251953125","0.3251953125","0.0068359375","0.0068359375","0.0068359375","0.400390625","0.400390625","0.400390625","0.001953125","0.001953125","0.001953125","0.17670296179130673","0.17670296179130673","0.17670296179130673","0.6943359375","0.6943359375","0.6943359375","0.6435546875","0.6435546875","0.6435546875","0.302734375","0.302734375","0.302734375","0.0029296875","0.0029296875","0.0029296875","0.35546875","0.35546875","0.35546875","0.0009765625","0.0009765625","0.0009765625","0.15063706145156175","0.15063706145156175","0.15063706145156175"
"16","0.638671875","0.638671875","0.638671875","0.625","0.625","0.625","0.361328125","0.361328125","0.361328125","0","0","0","0.37109375","0.37109375","0.37109375","0.00390625","0.00390625","0.00390625","0.1638576445839135","0.1638576445839135","0.1638576445839135","0.6513671875","0.6513671875","0.6513671875","0.611328125","0.611328125","0.611328125","0.3408203125","0.3408203125","0.3408203125","0.0078125","0.0078125","0.0078125","0.384765625","0.384765625","0.384765625","0.00390625","0.00390625","0.00390625","0.1790291379147675","0.1790291379147675","0.1790291379147675","0.572265625","0.572265625","0.572265625","0.63671875","0.63671875","0.63671875","0.427734375","0.427734375","0.427734375","0","0","0","0.361328125","0.361328125","0.361328125","0.001953125","0.001953125","0.001953125","0.1686190880718641","0.1686190880718641","0.1686190880718641"
"17","0.65234375","0.65234375","0.65234375","0.6318359375","0.6318359375","0.6318359375","0.3447265625","0.3447265625","0.3447265625","0.0029296875","0.0029296875","0.0029296875","0.365234375","0.365234375","0.365234375","0.0029296875","0.0029296875","0.0029296875","0.15159103137557395","0.15159103137557395","0.15159103137557395","0.603515625","0.603515625","0.603515625","0.650390625","0.650390625","0.650390625","0.396484375","0.396484375","0.396484375","0","0","0","0.3486328125","0.3486328125","0.3486328125","0.0009765625","0.0009765625","0.0009765625","0.15900324516405817","0.15900324516405817","0.15900324516405817","0.65625","0.65625","0.65625","0.6181640625","0.6181640625","0.6181640625","0.3388671875","0.3388671875","0.3388671875","0.0048828125","0.0048828125","0.0048828125","0.37890625","0.37890625","0.37890625","0.0029296875","0.0029296875","0.0029296875","0.1559810684993863","0.1559810684993863","0.1559810684993863"
"18","0.6240234375","0.6240234375","0.6240234375","0.6318359375","0.6318359375","0.6318359375","0.3740234375","0.3740234375","0.3740234375","0.001953125","0.001953125","0.001953125","0.36328125","0.36328125","0.36328125","0.0048828125","0.0048828125","0.0048828125","0.16479946277104318","0.16479946277104318","0.16479946277104318","0.6044921875","0.6044921875","0.6044921875","0.6201171875","0.6201171875","0.6201171875","0.39453125","0.39453125","0.39453125","0.0009765625","0.0009765625","0.0009765625","0.375","0.375","0.375","0.0048828125","0.0048828125","0.0048828125","0.16520866408245638","0.16520866408245638","0.16520866408245638","0.541015625","0.541015625","0.541015625","0.642578125","0.642578125","0.642578125","0.458984375","0.458984375","0.458984375","0","0","0","0.3544921875","0.3544921875","0.3544921875","0.0029296875","0.0029296875","0.0029296875","0.1576205703022424","0.1576205703022424","0.1576205703022424"
"19","0.671875","0.671875","0.671875","0.626953125","0.626953125","0.626953125","0.326171875","0.326171875","0.326171875","0.001953125","0.001953125","0.001953125","0.3720703125","0.3720703125","0.3720703125","0.0009765625","0.0009765625","0.0009765625","0.15348775387974456","0.15348775387974456","0.15348775387974456","0.685546875","0.685546875","0.685546875","0.62890625","0.62890625","0.62890625","0.310546875","0.310546875","0.310546875","0.00390625","0.00390625","0.00390625","0.37109375","0.37109375","0.37109375","0","0","0","0.15885019944107626","0.15885019944107626","0.15885019944107626","0.615234375","0.615234375","0.615234375","0.638671875","0.638671875","0.638671875","0.384765625","0.384765625","0.384765625","0","0","0","0.359375","0.359375","0.359375","0.001953125","0.001953125","0.001953125","0.15201535960659385","0.15201535960659385","0.15201535960659385"
"20","0.6201171875","0.6201171875","0.6201171875","0.6328125","0.6328125","0.6328125","0.375","0.375","0.375","0.0048828125","0.0048828125","0.0048828125","0.365234375","0.365234375","0.365234375","0.001953125","0.001953125","0.001953125","0.16479264307417907","0.16479264307417907","0.16479264307417907","0.66015625","0.66015625","0.66015625","0.63671875","0.63671875","0.63671875","0.3330078125","0.3330078125","0.3330078125","0.0068359375","0.0068359375","0.0068359375","0.35546875","0.35546875","0.35546875","0.0078125","0.0078125","0.0078125","0.16526234097545967","0.16526234097545967","0.16526234097545967","0.6640625","0.6640625","0.6640625","0.650390625","0.650390625","0.650390625","0.3349609375","0.3349609375","0.3349609375","0.0009765625","0.0009765625","0.0009765625","0.3486328125","0.3486328125","0.3486328125","0.0009765625","0.0009765625","0.0009765625","0.1487769575905986","0.1487769575905986","0.1487769575905986"
"21","0.6357421875","0.6357421875","0.6357421875","0.6328125","0.6328125","0.6328125","0.3623046875","0.3623046875","0.3623046875","0.001953125","0.001953125","0.001953125","0.365234375","0.365234375","0.365234375","0.001953125","0.001953125","0.001953125","0.1598196998675121","0.1598196998675121","0.1598196998675121","0.642578125","0.642578125","0.642578125","0.63671875","0.63671875","0.63671875","0.3564453125","0.3564453125","0.3564453125","0.0009765625","0.0009765625","0.0009765625","0.3603515625","0.3603515625","0.3603515625","0.0029296875","0.0029296875","0.0029296875","0.16060694921179675","0.16060694921179675","0.16060694921179675","0.6884765625","0.6884765625","0.6884765625","0.64453125","0.64453125","0.64453125","0.3115234375","0.3115234375","0.3115234375","0","0","0","0.353515625","0.353515625","0.353515625","0.001953125","0.001953125","0.001953125","0.15420441306196153","0.15420441306196153","0.15420441306196153"
"22","0.5986328125","0.5986328125","0.5986328125","0.6455078125","0.6455078125","0.6455078125","0.3994140625","0.3994140625","0.3994140625","0.001953125","0.001953125","0.001953125","0.3515625","0.3515625","0.3515625","0.0029296875","0.0029296875","0.0029296875","0.15673875829088502","0.15673875829088502","0.15673875829088502","0.7001953125","0.7001953125","0.7001953125","0.6396484375","0.6396484375","0.6396484375","0.298828125","0.298828125","0.298828125","0.0009765625","0.0009765625","0.0009765625","0.359375","0.359375","0.359375","0.0009765625","0.0009765625","0.0009765625","0.1554225240543019","0.1554225240543019","0.1554225240543019","0.6357421875","0.6357421875","0.6357421875","0.662109375","0.662109375","0.662109375","0.361328125","0.361328125","0.361328125","0.0029296875","0.0029296875","0.0029296875","0.333984375","0.333984375","0.333984375","0.00390625","0.00390625","0.00390625","0.15329286117048468","0.15329286117048468","0.15329286117048468"
"23","0.646484375","0.646484375","0.646484375","0.646484375","0.646484375","0.646484375","0.34765625","0.34765625","0.34765625","0.005859375","0.005859375","0.005859375","0.349609375","0.349609375","0.349609375","0.00390625","0.00390625","0.00390625","0.15497254001093097","0.15497254001093097","0.15497254001093097","0.65234375","0.65234375","0.65234375","0.6474609375","0.6474609375","0.6474609375","0.345703125","0.345703125","0.345703125","0.001953125","0.001953125","0.001953125","0.349609375","0.349609375","0.349609375","0.0029296875","0.0029296875","0.0029296875","0.15148584111011587","0.15148584111011587","0.15148584111011587","0.6865234375","0.6865234375","0.6865234375","0.65625","0.65625","0.65625","0.30859375","0.30859375","0.30859375","0.0048828125","0.0048828125","0.0048828125","0.33984375","0.33984375","0.33984375","0.00390625","0.00390625","0.00390625","0.1414704907219857","0.1414704907219857","0.1414704907219857"
"24","0.654296875","0.654296875","0.654296875","0.6572265625","0.6572265625","0.6572265625","0.34375","0.34375","0.34375","0.001953125","0.001953125","0.001953125","0.3427734375","0.3427734375","0.3427734375","0","0","0","0.14236036690999754","0.14236036690999754","0.14236036690999754","0.6962890625","0.6962890625","0.6962890625","0.6318359375","0.6318359375","0.6318359375","0.2978515625","0.2978515625","0.2978515625","0.005859375","0.005859375","0.005859375","0.3671875","0.3671875","0.3671875","0.0009765625","0.0009765625","0.0009765625","0.14714625534543302","0.14714625534543302","0.14714625534543302","0.630859375","0.630859375","0.630859375","0.6591796875","0.6591796875","0.6591796875","0.3681640625","0.3681640625","0.3681640625","0.0009765625","0.0009765625","0.0009765625","0.3408203125","0.3408203125","0.3408203125","0","0","0","0.14749080009642057","0.14749080009642057","0.14749080009642057"
"25","0.630859375","0.630859375","0.630859375","0.6494140625","0.6494140625","0.6494140625","0.3681640625","0.3681640625","0.3681640625","0.0009765625","0.0009765625","0.0009765625","0.345703125","0.345703125","0.345703125","0.0048828125","0.0048828125","0.0048828125","0.1601533921493683","0.1601533921493683","0.1601533921493683","0.671875","0.671875","0.671875","0.62890625","0.62890625","0.62890625","0.32421875","0.32421875","0.32421875","0.00390625","0.00390625","0.00390625","0.3662109375","0.3662109375","0.3662109375","0.0048828125","0.0048828125","0.0048828125","0.16334389663825277","0.16334389663825277","0.16334389663825277","0.623046875","0.623046875","0.623046875","0.638671875","0.638671875","0.638671875","0.375","0.375","0.375","0.001953125","0.001953125","0.001953125","0.3564453125","0.3564453125","0.3564453125","0.0048828125","0.0048828125","0.0048828125","0.16680428595282137","0.16680428595282137","0.16680428595282137"
"26","0.5771484375","0.5771484375","0.5771484375","0.6640625","0.6640625","0.6640625","0.4228515625","0.4228515625","0.4228515625","0","0","0","0.333984375","0.333984375","0.333984375","0.001953125","0.001953125","0.001953125","0.1501108187949285","0.1501108187949285","0.1501108187949285","0.625","0.625","0.625","0.630859375","0.630859375","0.630859375","0.373046875","0.373046875","0.373046875","0.001953125","0.001953125","0.001953125","0.3642578125","0.3642578125","0.3642578125","0.0048828125","0.0048828125","0.0048828125","0.17421440326143056","0.17421440326143056","0.17421440326143056","0.5712890625","0.5712890625","0.5712890625","0.6572265625","0.6572265625","0.6572265625","0.4287109375","0.4287109375","0.4287109375","0","0","0","0.33984375","0.33984375","0.33984375","0.0029296875","0.0029296875","0.0029296875","0.15114634098426905","0.15114634098426905","0.15114634098426905"
"27","0.650390625","0.650390625","0.650390625","0.6396484375","0.6396484375","0.6396484375","0.3486328125","0.3486328125","0.3486328125","0.0009765625","0.0009765625","0.0009765625","0.3564453125","0.3564453125","0.3564453125","0.00390625","0.00390625","0.00390625","0.148513080785051","0.148513080785051","0.148513080785051","0.630859375","0.630859375","0.630859375","0.6318359375","0.6318359375","0.6318359375","0.3642578125","0.3642578125","0.3642578125","0.0048828125","0.0048828125","0.0048828125","0.3623046875","0.3623046875","0.3623046875","0.005859375","0.005859375","0.005859375","0.1644700060132891","0.1644700060132891","0.1644700060132891","0.6640625","0.6640625","0.6640625","0.62890625","0.62890625","0.62890625","0.33203125","0.33203125","0.33203125","0.00390625","0.00390625","0.00390625","0.3681640625","0.3681640625","0.3681640625","0.0029296875","0.0029296875","0.0029296875","0.14423262972559314","0.14423262972559314","0.14423262972559314"
"28","0.6962890625","0.6962890625","0.6962890625","0.666015625","0.666015625","0.666015625","0.3017578125","0.3017578125","0.3017578125","0.001953125","0.001953125","0.001953125","0.3271484375","0.3271484375","0.3271484375","0.0068359375","0.0068359375","0.0068359375","0.1516127275681356","0.1516127275681356","0.1516127275681356","0.591796875","0.591796875","0.591796875","0.65234375","0.65234375","0.65234375","0.4072265625","0.4072265625","0.4072265625","0.0009765625","0.0009765625","0.0009765625","0.341796875","0.341796875","0.341796875","0.005859375","0.005859375","0.005859375","0.1754326765658334","0.1754326765658334","0.1754326765658334","0.6396484375","0.6396484375","0.6396484375","0.67578125","0.67578125","0.67578125","0.3544921875","0.3544921875","0.3544921875","0.005859375","0.005859375","0.005859375","0.3232421875","0.3232421875","0.3232421875","0.0009765625","0.0009765625","0.0009765625","0.1393675461586099","0.1393675461586099","0.1393675461586099"
